Recipe,,Mood Label,Mood Note,Glass Category,Glass Used,Glass Note,Spec,Garnish,Method,Mood ID,,,,,,
Britannica Negroni Amaro,NEGRONI,Bitter Lover,"After-dinner, bold and bitter — Negroni Week Special, for those who think the original is too safe",Rocks,Rocks glass,Short tumbler for spirit-forward stirred drinks,30 ml Britannica London Fernet / 30 ml London dry gin / 30 ml sweet vermouth,Grapefruit twist,"Combine Britannica, gin and sweet vermouth in a mixing glass with plenty of ice. Stir for 30 seconds. Strain over a single large ice cube into a chilled rocks glass. Express a wide grapefruit twist over the drink, then rest it on the rim.",M01,,"BRIGHT AND CRISP
",,NEGRONI,"DARK AND BROODING
",Dispense Negroni Scuro
Dispense Negroni Scuro,NEGRONI,Brooding Evening,"Negroni Week Special — darker, more herbal territory than the classic",Rocks,Rocks glass,Short tumbler for spirit-forward stirred drinks,30 ml Dispense Modern British Amaro / 30 ml London dry gin / 30 ml sweet vermouth,Orange twist,"Add the Dispense, gin and sweet vermouth to a mixing glass filled with ice. Stir for 30 seconds. Strain into a chilled rocks glass over a single large ice cube. Express an orange twist over the surface, then drop it in.",M02,,"DARK AND BROODING
",,,"STRONG AND BITTER
",Britannica Negroni Amaro
Estate Negroni Sbagliato,FIZZ,Effervescent Aperitivo,"Negroni Week Special — bitter-sweet, effervescent, lighter than a stirred Negroni",Rocks,Rocks glass,Short tumbler suited to bubbly stirred lowballs,45 ml Estate English Sweet Vermouth / 30 ml Campari / 60 ml dry prosecco,Orange half-wheel,"Fill a rocks glass with ice cubes. Pour in the Estate sweet vermouth and Campari. Slowly pour chilled prosecco over the back of a bar spoon to keep bubbles lively. Give one gentle stir, then drop in an orange half-wheel.",M03,,"EASY AND LONG
",,,"BRIGHT AND CRISP
",Estate White Negroni
Asterley Bitter Lemon,HIGHBALL,Late Spring Aperitivo,"Mid-afternoon aperitivo with a sharp, citrus-forward edge",Highball,Tall (highball) glass,"Tall glass for long, fizzy aperitivo serves",45 ml Asterley Original Aperitivo / 15 ml fresh lemon juice / 120 ml bitter lemon tonic,Lemon wedge + rosemary sprig,"Fill a tall glass with ice. Pour in Asterley Original and fresh lemon juice. Pour bitter lemon tonic slowly down the side of the glass to preserve carbonation. Give one gentle stir, then add lemon wedge and rosemary sprig.",M04,,"STRONG AND BITTER
",,FIZZ,"FIZZY AND SOCIAL
",Cunard Passion Fruit Fizz
Cunard Chamomile Cooler,HIGHBALL,Late Spring Aperitivo,"Mid-afternoon aperitivo — gentle, floral, dangerously easy to drink",Highball,Tall glass,"Tall glass for floral, long sippers",60 ml Cunard English Dry Vermouth / 15 ml chamomile honey syrup / 90 ml chilled soda water,Lemon twist + chamomile flower,"In a tall glass, stir Cunard and chamomile honey syrup until honey dissolves. Fill with ice cubes, pour in chilled soda water, and stir once gently. Express a lemon twist over the surface and drop it in; add a chamomile flower if available.",M04,,"FIZZY AND SOCIAL
",,,"WARM AND SPICED
",Estate Rhubarb Spritz
Dispense Blood Orange Aperitivo,HIGHBALL,Late Spring Aperitivo,Mid-afternoon aperitivo — bittersweet with deep citrus edge,Wine,Large wine glass,Large wine glass for shaken sparkling aperitivos,45 ml Dispense Modern British Amaro / 30 ml fresh blood orange juice / 75 ml dry prosecco,Blood orange wheel,"Add Dispense and blood orange juice to a shaker with ice. Shake firmly for 8 seconds. Strain into a large wine glass over fresh ice, then top slowly with chilled prosecco. Float a blood orange wheel on the surface and serve immediately.",M04,,"WARM AND SPICED
",,,"EASY AND LONG
",Asterley Spritz
Estate Old Fashioned,OLD FASHIONED,Holiday Slow Sipper,"Holiday Cocktails collection — slower drink for warmer days, lower-ABV Old Fashioned riff",Rocks,Rocks glass,"Short tumbler for slow, spirit-forward sippers",60 ml Estate English Sweet Vermouth / 2 dashes Angostura bitters / 1 dash orange bitters,Orange peel and cherry,"Add Estate and both bitters to a mixing glass with ice. Stir for 20 seconds until properly chilled. Strain over a large ice sphere or cube in a rocks glass. Express an orange peel over the surface, drop it in alongside a dark cherry.",M05,,,,HIGHBALL,"BRIGHT AND CRISP
",Cunard Elderflower Spritz
Asterley Mule,HIGHBALL,Holiday Cocktails,"Holiday Cocktails collection — bright, refreshing mule for warmer days",Mug,Copper mug or tall glass,Copper mug (or tall glass) for icy fizzy mules,45 ml Asterley Original British Aperitivo / 15 ml fresh lime juice / 120 ml fiery ginger beer,Lime wheel and mint sprig,"Fill a copper mug or tall glass with ice. Pour in Asterley Original and lime juice. Top with ginger beer slowly, then stir once gently. Add a lime wheel and a sprig of mint (clap the mint between palms first to release oils).",M05,,,,,"EASY AND LONG
",Estate Strawberry Cobbler
Cunard Passion Fruit Fizz,HIGHBALL,Holiday Cocktails,"Holiday Cocktails collection — sharp, tropical and dry",Highball,Tall glass,"Tall glass for tropical, fizzy serves","45 ml Cunard English Dry Vermouth / 1 fresh passion fruit, halved / 10 ml fresh lime juice / 100 ml sparkling water",Passion fruit half,"Scoop the pulp from one passion fruit half directly into a tall glass (save the other half for garnish). Add ice, pour in the Cunard and lime juice, then top with sparkling water. Give a brief stir to distribute the passion fruit through the drink.",M05,,,,,"STRONG AND BITTER
",Britannica Fernet & Ginger
Dispense Espresso Highball,HIGHBALL,Summer Highballs,"Summer Highballs collection — long afternoons and warm evenings, sharp but refreshing",Highball,Tall glass,Tall glass for refreshing coffee highballs,30 ml Dispense Modern British Amaro / 30 ml cold espresso / 90 ml tonic water,Orange wheel,Pour Dispense and cold espresso into a tall glass filled with ice and let them settle. Top slowly with tonic water (the espresso will foam slightly). Float an orange wheel on top and serve immediately.,M06,,,,OLD FASHIONED,"EASY AND LONG
",South London Amaro Sour
Schofield's Cucumber Collins,HIGHBALL,Summer Highballs,"Summer Highballs collection — clean, light, an English-garden serve",Highball,Tall glass,Tall glass for garden-style Collinses,45 ml Schofield's English Dry Vermouth / 15 ml fresh lemon juice / 100 ml elderflower soda / 2 cucumber slices (muddled),Cucumber ribbon,"Lightly press two cucumber slices in the base of a tall glass. Add ice, pour in the Schofield's and lemon juice, then top with elderflower soda. Stir gently once. Thread a long cucumber ribbon onto a cocktail pick for garnish.",M06,,,,,"STRONG AND BITTER
",Dispense Boulevardier
Asterley Paloma Highball,HIGHBALL,Summer Highballs,"Summer Highballs collection — quick build, easy sipping for long afternoons",Highball,Tall highball glass,Tall highball for citrus-forward refreshers,45 ml Asterley Original British Aperitivo / 15 ml fresh lime juice / 100 ml sparkling grapefruit soda,Grapefruit wedge,"Fill a tall highball glass with ice. Pour in Asterley Original and lime juice. Top with cold sparkling grapefruit soda and give it one gentle stir. Squeeze a grapefruit wedge over the top, drop it in, and serve with a straw.",M06,,,,,"DARK AND BROODING
",Estate Old Fashioned
Britannica Negroni Sbagliato,NEGRONI,Negroni Week Special,"Negroni Week Special — bright bubbly Sbagliato, evening starter",Wine,Large wine glass or tumbler,Large wine glass or tumbler for bubbly Sbagliatos,20 ml Britannica London Fernet / 25 ml bitter aperitivo / 60 ml prosecco,Orange slice,Pour Britannica and bitter aperitivo into a large wine glass or tumbler filled with ice. Top with cold prosecco and give one gentle stir. Drop in an orange slice and serve immediately.,M01,,,,DIGESTIVO,"DARK AND BROODING
",Britannica Toronto
Dispense Boulevardier,OLD FASHIONED,Negroni Week Special,"Negroni Week Special — warmer, richer, after-dark sibling of the Negroni",Rocks,Rocks glass,"Short tumbler for warming, spirit-forward stirred drinks",30 ml Dispense Modern British Amaro / 30 ml bourbon whiskey / 20 ml sweet vermouth,Orange peel,"Add Dispense, bourbon, and sweet vermouth to a mixing glass filled with ice. Stir steadily for 25–30 seconds. Strain into a rocks glass over a large ice cube. Express an orange peel over the drink.",M01,,,,,"STRONG AND BITTER
",Dispense Nightcap
Estate White Negroni,NEGRONI,Negroni Week Special,"Negroni Week Special — golden, aromatic, modern White Negroni",Coupe,Coupe glass or rocks glass,Stemmed coupe (or rocks) for elegant stirred drinks,30 ml SCHOFIELD'S Dry Vermouth / 30 ml London dry gin / 20 ml Suze gentian liqueur,Lemon twist,"Combine SCHOFIELD'S, gin, and Suze in a mixing glass with plenty of ice. Stir for 20 seconds until well chilled. Strain into a chilled coupe glass or over a single large ice cube in a rocks glass. Express a lemon twist over the surface.",M01,,,,,"WARM AND SPICED
",Dispense Boulevardier
Estate Strawberry Cobbler,HIGHBALL,Garden Party,"A summery garden-table cobbler — cold, fruity, slow to open up",Rocks,Rocks glass or tumbler (with crushed ice),Short tumbler over crushed ice for cobblers,"60 ml Estate English Sweet Vermouth / 2 fresh strawberries, hulled / 15 ml fresh orange juice",Strawberry half + mint sprig,Lightly muddle strawberries in the base of a shaker. Add Estate and orange juice with ice and shake hard for 10 seconds. Fine strain into a rocks glass or tumbler packed with crushed ice. Top with more crushed ice and garnish.,M07,,,,MARTINI,"BRIGHT AND CRISP
",Cunard Martini
Asterley Peach Punch,HIGHBALL,Garden Party,"Garden party punch — bittersweet aperitivo softened by ripe peach, scalable for crowds",Highball,Tall glass,"Tall glass for shaken, lengthened punches",50 ml Asterley Original Aperitivo / 30 ml white peach puree or nectar / 15 ml fresh lemon juice / 60 ml chilled sparkling water,Peach slice or basil sprig,"Add Asterley Original, peach puree and lemon juice to a shaker with ice. Shake firmly for 8 seconds. Strain into a tall glass filled with ice, then top with sparkling water. Garnish with a peach slice or basil sprig.",M07,,,,,"EASY AND LONG
",Schofield's Gibson
Schofield's Garden Cup,HIGHBALL,Garden Party,"Garden party cup — tall, cold, full of herbs and fruit",Highball,Tall glass or small jug,Tall glass or jug for garden-cup serves,60 ml Schofield's English Dry Vermouth / 100 ml cloudy lemonade / 15 ml fresh lemon juice,Cucumber ribbon + mint sprig + strawberry slice,"Fill a tall glass or small jug with ice. Pour in Schofield's and lemon juice, then top with cloudy lemonade. Give a gentle stir to combine without losing the fizz. Garnish and serve outdoors.",M07,,,,,WARM AND SPICED,Estate Manhattan
Cunard Elderflower Spritz,FIZZ,Spring Spritz,Spring spritz — floral elderflower with crisp dry vermouth and sparkling wine,Wine,Large wine glass,Large wine glass for floral spritzes,45 ml Cunard English Dry Vermouth / 15 ml elderflower liqueur / 90 ml dry sparkling wine,Cucumber slice + elderflower sprig,Fill a large wine glass with ice. Add Cunard and elderflower liqueur. Top with chilled sparkling wine and stir once gently. Garnish with a long cucumber slice and a small elderflower sprig.,M08,,,,,,
Asterley Grapefruit Spritz,FIZZ,Spring Spritz,"Spring spritz — bittersweet aperitivo brightened by grapefruit, Friday-evening drink",Wine,Large wine glass,Large wine glass for shaken sparkling spritzes,45 ml Asterley Original Aperitivo / 30 ml fresh pink grapefruit juice / 75 ml dry prosecco,Grapefruit half-wheel,"Add Asterley Original and grapefruit juice to a shaker with ice. Shake briefly for 5–6 seconds. Strain into a large wine glass filled with fresh ice, then top with chilled prosecco. Garnish with a grapefruit half-wheel.",M08,,,,,,
Estate Rhubarb Spritz,FIZZ,Spring Spritz,"Spring spritz — pink, tart and fizzy with rhubarb",Wine,Large wine glass,Large wine glass for fruit-forward spritzes,45 ml Estate English Sweet Vermouth / 20 ml rhubarb syrup / 90 ml dry prosecco,Rhubarb ribbon + lemon twist,"Fill a large wine glass with ice. Pour in Estate and rhubarb syrup, then top with chilled prosecco. Give one slow stir to bring the colour through without losing the fizz. Thread a thin rhubarb ribbon onto the glass and add a lemon twist.",M08,,,,,,
Britannica Mint Spritz,FIZZ,Low-ABV Refresher,"Lower-ABV herbal spritz — refreshing, minty, suited to lighter afternoon serves",Wine,Large wine glass,Large wine glass for low-ABV herbal spritzes,30 ml Britannica London Fernet / 120 ml tonic water,Cucumber slice + mint sprig,"Fill a large wine glass with ice. Add Britannica and top with tonic. Stir gently, then garnish with cucumber slice and fresh mint.",M09,,,,,,
Britannica Toronto,DIGESTIVO,After-Dinner Classic,"Robust and structured — fernet drinker's Manhattan, serious after-dinner drink",Coupe,Coupe or rocks glass,Coupe (or rocks) for spirit-forward classics,50 ml rye whiskey / 15 ml Britannica London Fernet / 10 ml simple syrup / 2 dashes aromatic bitters,Orange peel,"Add rye, Britannica, syrup and bitters to a mixing glass with ice. Stir until chilled and velvety. Strain into a chilled coupe or rocks glass over a large cube. Express an orange peel over the drink.",M10,,,,,,
Britannica Fernet & Ginger,HIGHBALL,Low-ABV Refresher,Cooling and lively — instinctive fernet-and-ginger highball,Highball,Highball glass,"Tall glass for fiery, refreshing fernet serves",40 ml Britannica London Fernet / 120 ml ginger ale,Lime wedge + optional mint sprig,"Fill a highball glass with ice. Add Britannica and top with ginger ale. Stir gently, then garnish with a lime wedge and mint sprig.",M09,,,,,,
South London Amaro Sour,OLD FASHIONED,Shaken Sour,"Silky, vivid amaro sour — bitterness reframed as depth by lemon and honey",Coupe,Chilled coupe,Chilled coupe for shaken sours,45 ml Dispense Modern British Amaro / 20 ml fresh lemon juice / 10 ml honey syrup (1:1) / optional 15 ml egg white or aquafaba,Lemon twist (optional),Add all ingredients to a shaker without ice and dry shake to emulsify. Add ice and shake again until very cold and frothy. Fine strain into a chilled coupe.,M11,,,,,,
Dispense Nightcap,DIGESTIVO,After-Dinner Classic,"Slow-burning and contemplative — amaro nightcap, sipped between conversations",Rocks,Rocks glass,Short tumbler for slow contemplative neat serves,50 ml Dispense Modern British Amaro / 1 large ice cube,Orange twist,Add a large cube of ice to a rocks glass and pour Dispense over the top. Express an orange twist over the glass and drop it in. Sip slowly.,M10,,,,,,
Dispense Bitter Highball,HIGHBALL,Low-ABV Refresher,"Long, gently bitter refresher — amaro highball as a botanical alternative to soft drinks",Highball,Highball glass,Tall glass for botanical highballs,50 ml Dispense Modern British Amaro / 120 ml soda water,Lemon wedge + optional fresh mint,"Fill a highball glass with ice. Add Dispense, then top with soda. Stir briefly, then garnish with a lemon wedge and sprig of mint if desired.",M09,,,,,,
Cunard & Soda,HIGHBALL,Low-ABV Aperitif,"Bright, saline low-ABV aperitif — under two minutes to build",Tumbler,Tumbler,"Short tumbler for bright, low-ABV aperitifs",60 ml Cunard English Dry Vermouth / 90 ml soda water,Grapefruit peel + optional olive,"Fill a tumbler with ice. Add Cunard, then top with soda. Stir once or twice, then garnish with a wide grapefruit peel and an optional olive.",M09,,,,,,
Cunard Martini Royale,MARTINI,Celebratory Martini,Celebratory Martini Royale — lighter and festive without losing Martini character,Coupe,Chilled coupe,Chilled coupe for stirred Martini variations,40 ml London dry gin / 25 ml Cunard English Dry Vermouth / 30 ml dry sparkling wine,Slim lemon twist,"Stir gin and Cunard with ice in a mixing glass until well chilled. Strain into a chilled coupe, then gently top with sparkling wine. Garnish with a slim lemon twist.",M12,,,,,,
Cunard Martini,MARTINI,Classic Martini,"Elegant, precise dry Martini — restrained and refined",Martini,Chilled Martini glass,Stemmed Martini glass for classic dry Martinis,60 ml London dry gin / 20 ml Cunard English Dry Vermouth / 1 dash orange bitters (optional),Lemon twist,"Add gin, Cunard and bitters to a mixing glass with ice. Stir until ice-cold and clear. Strain into a chilled Martini glass. Express a lemon twist over the surface and drop it in.",M13,,,,,,
Schofield's & Tonic,HIGHBALL,Low-ABV Aperitif,"Crisp, lightly herbal vermouth & tonic — low-ABV alternative to a G&T",Highball,Highball glass,Tall glass for crisp low-ABV vermouth & tonic,60 ml Schofield's English Dry Vermouth / 120 ml tonic water,Lemon wheel + optional thyme sprig,"Fill a highball glass with ice. Add Schofield's and top with chilled tonic. Stir briefly, then garnish with a lemon wheel and optional thyme sprig.",M09,,,,,,
Schofield's Gibson,MARTINI,Classic Martini,"Savoury Gibson — pickled onion's brine against dry, mineral vermouth",Coupe,Chilled coupe or Martini glass,Coupe or Martini glass for stirred classics with savoury garnish,60 ml London dry gin / 20 ml Schofield's English Dry Vermouth / 1 dash dry vermouth (optional extra),Pickled cocktail onion,Add gin and Schofield's to a mixing glass with ice. Stir until thoroughly chilled. Strain into a chilled coupe or Martini glass. Garnish with a pickled cocktail onion.,M13,,,,,,
Schofield's Dry Martini,MARTINI,Classic Martini,"Crystal clear, precise dry Martini — finely calibrated aromatics",Martini,Frozen Martini or Nick & Nora glass,Frozen Martini or Nick & Nora glass for precision Martinis,60 ml London dry gin / 15 ml Schofield's English Dry Vermouth / 1 dash orange bitters (optional),Lemon twist or olive,"Add gin, Schofield's and bitters to a mixing glass filled with ice. Stir until very cold and crystal clear. Strain into a frozen Martini or Nick & Nora glass. Garnish with a lemon twist or single olive.",M13,,,,,,
Estate & Soda,HIGHBALL,Low-ABV Aperitif,All-afternoon vermouth & soda — refreshing and subtly sweet,Wine,Large wine glass or tumbler,Large wine glass or tumbler for low-ABV soda serves,60 ml Estate English Sweet Vermouth / 90 ml soda water,Orange wedge + optional lemon twist,"Fill a large wine glass or tumbler with ice. Pour in Estate, then top with chilled soda. Stir briefly, then garnish.",M09,,,,,,
Estate Manhattan,DIGESTIVO,After-Dinner Classic,"Silky Manhattan with English vermouth — autumnal, dried-fruit character",Coupe,Chilled coupe or Nick & Nora glass,Coupe or Nick & Nora for stirred whiskey classics,50 ml rye or bourbon whiskey / 25 ml Estate English Sweet Vermouth / 2 dashes aromatic bitters,Brandied cherry,"Add whiskey, Estate and bitters to a mixing glass with ice. Stir until very cold and silky. Strain into a chilled coupe or small Nick & Nora glass. Garnish with a brandied cherry.",M10,,,,,,
Estate Negroni,NEGRONI,Classic Negroni,"Quieter, more herbaceous Negroni — English countryside character",Rocks,Rocks glass,Short tumbler for stirred aperitivo classics,25 ml Estate English Sweet Vermouth / 25 ml London dry gin / 25 ml bitter aperitivo,Orange peel,"Add Estate, gin and bitter aperitivo to a mixing glass with plenty of ice. Stir for 15–20 seconds. Strain into a rocks glass over a large cube of ice. Express an orange peel over the glass and drop it in.",M14,,,,,,
South London Sunset,OLD FASHIONED,Shaken Sour,"British aperitivo sour — contrasts of bitter, tart and sweet",Coupe,Chilled coupe or Nick & Nora glass,Coupe or Nick & Nora for shaken sours,35 ml Asterley Original Aperitivo / 25 ml London dry gin / 20 ml fresh lemon juice / 10 ml raspberry syrup (or 2 barspoons raspberry jam),Thin lemon peel or skewered raspberry,Add all ingredients to a shaker with ice. Shake hard for 10–12 seconds. Fine strain into a chilled coupe or small Nick & Nora glass.,M11,,,,,,
Asterley Highball,HIGHBALL,Low-ABV Aperitif,"Bittersweet, zesty aperitivo highball — refreshing without being cloying",Highball,Highball glass,Tall glass for botanical aperitivo highballs,50 ml Asterley Original Aperitivo / 120 ml tonic water,Grapefruit wedge + optional rosemary sprig,"Fill a highball glass with cubed ice. Pour in Asterley Original and top with chilled tonic. Give a brief stir, then garnish.",M09,,,,,,
Asterley Spritz,FIZZ,Spring Spritz,"Bittersweet British spritz — orange citrus on the nose, pre-dinner aperitivo",Wine,Large wine glass,Large wine glass for the classic Italian-style spritz,60 ml Asterley Original Aperitivo / 90 ml dry prosecco / 30 ml soda water,Orange slice + skewered olive,"Fill a large wine glass with ice. Add Asterley Original, then top with chilled prosecco and a splash of soda. Gently stir once to combine, then garnish.",M08,,,,,,